timestamp,speed,network_activity,buffer_health,resolution
2023-11-30 01:02:36,1009 Kbps,8 KB,0.00 s,3840x2160@24
2023-11-30 01:02:37,966 Kbps,6 KB,0.00 s,3840x2160@24
2023-11-30 01:02:38,966 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:40,966 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:41,966 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:42,966 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:43,962 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:44,962 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:45,966 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:46,966 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:47,851 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:48,851 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:50,847 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:51,847 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:52,847 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:53,847 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:54,878 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:55,878 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:56,803 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:57,803 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:58,803 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:03:00,803 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:03:01,803 Kbps,0 KB,0.00 s,3840x2160@24
